ID,Tốc độ gió trung bình (m/s) | Average Wind Speed (m/s),Độ lệch chuẩn (m/s) | Standard Deviation (m/s),Phân loại tốc độ gió | Wind Speed Category,Tiềm năng | Potential
0,3.54173583984375,0.5896853037955698,3-4,Thấp | Low
1,3.8464383669812294,0.7105533065645199,3-4,Thấp | Low
2,3.397414047830606,0.6197480369819872,3-4,Thấp | Low
3,3.2969119423314144,0.215902550712089,3-4,Thấp | Low
4,3.2358826427924923,0.5438779121501106,3-4,Thấp | Low
5,4.085699659778226,0.14088327082499302,4-5,Thấp | Low
6,2.9540391079215116,0.05817577209101534,<3,Thấp | Low
7,5.358920769942435,1.8756594667338775,5-6,Thấp | Low
8,3.3007227579752603,0.3895294556176247,3-4,Thấp | Low
9,2.939215298356681,0.189583330441948,<3,Thấp | Low
10,,,,Thấp | Low
11,3.283972530041711,0.08096550756568066,3-4,Thấp | Low
12,2.821957489938447,0.5751746018316813,<3,Thấp | Low
13,4.086207866668701,0.7961310533967813,4-5,Thấp | Low
14,4.086004038326076,0.15805247897032282,4-5,Thấp | Low
15,4.465542879971591,1.0261027666967648,4-5,Thấp | Low
16,,,,Thấp | Low
17,3.628045399983724,0.14297836184006427,3-4,Thấp | Low
18,4.21763169285142,1.1612241307666336,4-5,Thấp | Low
19,2.9615568567494877,0.05695382969740147,<3,Thấp | Low
20,3.522269761266787,0.3484102424952598,3-4,Thấp | Low
21,3.2269468145855402,0.16800773202459385,3-4,Thấp | Low
22,,,,Thấp | Low
23,4.1435183840613385,0.9427586131952983,4-5,Thấp | Low
24,3.5189141938180635,0.2124901282659839,3-4,Thấp | Low
25,3.0155238687557024,0.4167701261956788,3-4,Thấp | Low
26,3.173868179321289,0.15281590517503463,3-4,Thấp | Low
27,4.466041395399306,0.9567351747640991,4-5,Thấp | Low
28,2.8761988146551722,0.5748040216765606,<3,Thấp | Low
29,2.993318698550231,0.2460937557124953,<3,Thấp | Low
30,5.248175497794483,1.3377067911725695,5-6,Thấp | Low
31,3.0289352241603806,0.24464578595888758,3-4,Thấp | Low
32,3.1656564812911183,0.3813697501359669,3-4,Thấp | Low
33,3.4044910109186746,0.6143337822682298,3-4,Thấp | Low
34,,,,Thấp | Low
35,4.396952784338663,0.20089733910303825,4-5,Thấp | Low
36,3.700955073038737,1.2001795440483884,3-4,Thấp | Low
37,,,,Thấp | Low
38,5.079780444764254,1.370390037007624,5-6,Thấp | Low
39,4.42391845703125,0.09309116307080172,4-5,Thấp | Low
40,3.3378777610881447,0.27547747908505854,3-4,Thấp | Low
41,3.0123159235174004,0.2399859082330076,3-4,Thấp | Low
42,2.888314056396484,0.036471888627215725,<3,Thấp | Low
43,3.116458830286245,0.30424986521014613,3-4,Thấp | Low
44,3.2164829799107144,0.6236960067849109,3-4,Thấp | Low
45,4.715440433458012,0.2197732502686828,4-5,Thấp | Low
46,4.078294633745073,1.0084662155828494,4-5,Thấp | Low
47,2.987799360945418,0.07624394616216676,<3,Thấp | Low
48,3.0256764040154924,0.17969505388968476,3-4,Thấp | Low
49,3.5456206652582907,0.22917434560673136,3-4,Thấp | Low
50,4.909710817920918,1.0076498310963526,4-5,Thấp | Low
51,3.728136623606962,0.38366774689699473,3-4,Thấp | Low
52,3.9947170300430126,1.0220235050411797,3-4,Thấp | Low
53,3.864364239348083,0.4126293743987758,3-4,Thấp | Low
54,3.0362189797794117,0.13465474982283027,3-4,Thấp | Low
55,3.5439056657318377,0.37232723139474255,3-4,Thấp | Low
56,3.1675251843457555,0.6985545460213124,3-4,Thấp | Low
57,,,,Thấp | Low
58,4.142234912817029,1.1239256914609732,4-5,Thấp | Low
59,3.4953357696533205,0.42979717109091264,3-4,Thấp | Low
60,3.890858227054015,0.15383207139450897,3-4,Thấp | Low
61,3.2396647135416665,0.6374363324082026,3-4,Thấp | Low
62,2.9593420940896737,0.6330157488050484,<3,Thấp | Low
63,3.770657322987789,0.16024249746418506,3-4,Thấp | Low
64,3.5068539110429446,1.1673485990764947,3-4,Thấp | Low
65,3.806189361462094,0.830463114481693,3-4,Thấp | Low
66,3.4724369227329146,0.25635892714229636,3-4,Thấp | Low
67,,,,Thấp | Low
68,3.7533661927970203,0.7665870961655582,3-4,Thấp | Low
69,3.6689105770452235,0.1425780347168207,3-4,Thấp | Low
70,3.1633003048780486,0.11443005360449628,3-4,Thấp | Low
71,,,,Thấp | Low
72,3.6558335248161766,0.1490920558878974,3-4,Thấp | Low
73,3.965558220358456,0.1930679709628055,3-4,Thấp | Low
74,3.7280439897017046,0.1177417139420029,3-4,Thấp | Low
75,3.2953091958411656,0.526811415633733,3-4,Thấp | Low
76,3.152667516949533,0.3384778148621764,3-4,Thấp | Low
77,3.631617018013946,0.6477936544361637,3-4,Thấp | Low
