ID,Tốc độ gió trung bình (m/s) | Average Wind Speed (m/s),Độ lệch chuẩn (m/s) | Standard Deviation (m/s),Phân loại tốc độ gió | Wind Speed Category,Tiềm năng | Potential
0,4.98675894506822,1.610769440410299,4-5,Thấp | Low
1,5.328200591183528,0.326144478980235,5-6,Thấp | Low
2,2.9861967250840067,1.1100313093440963,<3,Thấp | Low
3,5.043532609466281,0.8970712538486129,5-6,Thấp | Low
4,4.346856072040666,1.2350172692546373,4-5,Thấp | Low
5,5.301722171532846,0.1767981603250398,5-6,Thấp | Low
6,4.1502523588458065,1.1735715316086845,4-5,Thấp | Low
7,6.770485145934677,0.9704095425521652,6-7,Cao | High
8,4.154715291501977,1.2574780910836858,4-5,Thấp | Low
9,4.690501983955135,0.672167324557411,4-5,Thấp | Low
10,3.801050738331488,1.0607279013500996,3-4,Thấp | Low
11,4.6700795206971675,1.8094000385221842,4-5,Thấp | Low
12,5.314424547374969,0.13703763499436628,5-6,Thấp | Low
13,5.652352752551581,0.7883203785225231,5-6,Thấp | Low
14,5.1495827918952735,1.1434626491812372,5-6,Thấp | Low
15,4.124697184183093,0.6921882293439974,4-5,Thấp | Low
16,4.782315877308386,1.5252899686576142,4-5,Thấp | Low
17,3.3918747162039438,1.0560991590132391,3-4,Thấp | Low
18,3.7415108237191417,0.8515063225178765,3-4,Thấp | Low
19,4.8701742501254195,0.9465285069572883,4-5,Thấp | Low
20,5.14065412586311,0.6928796842663305,5-6,Thấp | Low
21,2.4167161128691985,0.8787503642123902,<3,Thấp | Low
22,3.8517319732799553,0.9530703039842393,3-4,Thấp | Low
23,5.2160216437445746,0.541548483369592,5-6,Thấp | Low
24,5.0384093204326295,0.0993939645383208,5-6,Thấp | Low
25,3.6767017990707753,0.9061599198181659,3-4,Thấp | Low
26,5.288812059694027,0.19713529887206957,5-6,Thấp | Low
27,3.8143476052334866,1.1577827772102007,3-4,Thấp | Low
28,5.605303571762244,0.9863271445763333,5-6,Thấp | Low
29,4.392752808140588,1.0026040826010607,4-5,Thấp | Low
30,4.686356178371733,1.46797887634262,4-5,Thấp | Low
31,2.9822136200473675,0.7529950052122174,<3,Thấp | Low
32,4.4660205620164355,0.500374741356608,4-5,Thấp | Low
33,3.6469366341574276,1.4493615576698184,3-4,Thấp | Low
34,5.1444620581857246,0.8916728140685852,5-6,Thấp | Low
35,6.574745465930702,1.433590699670263,6-7,Cao | High
36,5.061072652012561,0.5777880589544422,5-6,Thấp | Low
37,6.173812691157576,1.2020032882112772,6-7,Cao | High
38,3.9645935927630873,0.5714872227177039,3-4,Thấp | Low
39,5.785819800985349,0.23113207898480623,5-6,Thấp | Low
40,4.407139998314796,1.4398722192667845,4-5,Thấp | Low
41,3.6762090924116655,1.2913129500693135,3-4,Thấp | Low
