ID,Tốc độ gió trung bình (m/s) | Average Wind Speed (m/s),Độ lệch chuẩn (m/s) | Standard Deviation (m/s),Phân loại tốc độ gió | Wind Speed Category,Tiềm năng | Potential
0,3.7813827663204105,0.7413710099186248,3-4,Thấp | Low
1,7.983683471679687,1.0090842686085206,7-8,Cao | High
2,5.71990057762633,1.1207202201962965,5-6,Thấp | Low
3,5.040111860795455,0.777018835652368,5-6,Thấp | Low
4,7.526660328180018,1.1769791069883402,7-8,Cao | High
5,4.279210579208613,0.7122415801519878,4-5,Thấp | Low
6,5.587779055359543,1.5712458117585524,5-6,Thấp | Low
7,3.47607421875,0.6749108100699461,3-4,Thấp | Low
8,7.470707702636719,1.2084844105829913,7-8,Cao | High
9,3.9778156009330567,0.5050119417677621,3-4,Thấp | Low
10,5.898742409252184,0.528435518850625,5-6,Thấp | Low
11,10.036712311126374,1.2151798898591786,>10,Cao | High
12,4.80942402317743,1.06777939842462,4-5,Thấp | Low
13,7.431709011729692,0.9533603450567887,7-8,Cao | High
14,6.849710238181938,1.6389445887602974,6-7,Cao | High
15,5.586466079564993,0.6600748967504504,5-6,Thấp | Low
16,3.23252857349537,0.20305233044952034,3-4,Thấp | Low
17,7.980116710157841,0.5014630445469678,7-8,Cao | High
18,4.747275998740842,1.0597169480671167,4-5,Thấp | Low
19,5.555381745445222,1.0560218369152763,5-6,Thấp | Low
20,4.675537787543403,1.1601083437739872,4-5,Thấp | Low
21,8.916435472892992,1.3177364671108522,8-9,Cao | High
22,6.280288021121405,1.0855515872596897,6-7,Cao | High
23,6.30525118987308,0.8939968826641507,6-7,Cao | High
24,3.6358042018298797,0.15889081331960755,3-4,Thấp | Low
25,3.7447258309925093,0.6334481225041744,3-4,Thấp | Low
26,7.23734404350239,0.8835068551841914,7-8,Cao | High
27,6.017258983547404,1.29273298741072,6-7,Cao | High
28,7.180481915698626,1.0338893186682285,7-8,Cao | High
29,4.183389007729828,0.6581612069133446,4-5,Thấp | Low
30,7.2718257444953505,0.930051146303657,7-8,Cao | High
31,7.61105583398847,0.7930989780733015,7-8,Cao | High
32,4.75431188844323,1.526571554304545,4-5,Thấp | Low
33,5.21555696980337,0.4703988687922551,5-6,Thấp | Low
34,8.264901681673729,0.9426982581774421,8-9,Cao | High
35,4.748565297067901,0.12230735653286355,4-5,Thấp | Low
36,5.540883070120782,1.6030651209174172,5-6,Thấp | Low
37,3.609086956894189,0.5429911367419838,3-4,Thấp | Low
38,5.9396840221477,0.807923588742175,5-6,Thấp | Low
39,8.611022760255418,0.5982666296189774,8-9,Cao | High
40,6.979583670079023,0.702396319006059,6-7,Cao | High
41,5.366203125,0.9541825642488465,5-6,Thấp | Low
42,5.730027439876958,0.9360793675317813,5-6,Thấp | Low
43,4.437349551718174,0.5024517972290733,4-5,Thấp | Low
44,5.19656086916004,0.9167653554601733,5-6,Thấp | Low
45,6.097930810702875,0.07539037161928568,6-7,Cao | High
46,7.846514922644705,0.09900690543107123,7-8,Cao | High
47,6.017175847833807,0.37415450593179267,6-7,Cao | High
48,8.268724622969838,1.2455821787137797,8-9,Cao | High
49,4.255721609933036,0.4351150732352318,4-5,Thấp | Low
50,6.193356831868489,0.35515685784650997,6-7,Cao | High
51,7.682332723348348,0.46162886131869696,7-8,Cao | High
52,3.69268131777237,0.1517523120936944,3-4,Thấp | Low
53,7.053607658987797,1.4674355851690308,7-8,Cao | High
54,6.090719585769747,1.2147773629301635,6-7,Cao | High
55,3.02871362968514,0.4786345890052276,3-4,Thấp | Low
56,4.35415974069149,0.3298636464282243,4-5,Thấp | Low
57,7.898893186559228,1.2096232287012367,7-8,Cao | High
58,6.4747035278867715,0.2713184752121038,6-7,Cao | High
59,4.352688574975775,0.9869637935557896,4-5,Thấp | Low
60,4.631556167729063,0.41782994422678976,4-5,Thấp | Low
61,4.9415018811203915,0.31908428591784516,4-5,Thấp | Low
62,5.726581761587771,0.8918548273066343,5-6,Thấp | Low
63,6.888087475393701,1.2104862785231973,6-7,Cao | High
64,6.00852569820374,1.1842156609274752,6-7,Cao | High
65,6.903981175915948,0.6120489070375602,6-7,Cao | High
66,5.875709005871659,1.0385049015490966,5-6,Thấp | Low
67,6.697436809539795,0.942594940108161,6-7,Cao | High
68,5.308920485463308,1.1875197529533525,5-6,Thấp | Low
69,4.215160432409068,0.22258066460918674,4-5,Thấp | Low
70,3.5351536458333332,0.5748710628346213,3-4,Thấp | Low
71,5.1341291900373935,1.2715543044002329,5-6,Thấp | Low
72,5.869568778197983,1.0333306123697772,5-6,Thấp | Low
